================ Training Loss (Wed Feb 26 11:24:39 2020) ================
(epoch: 30, iters: 400, time: 0.222, data: 0.001) G_GAN: 1.475 G_L1: 21.449 D_real: 0.633 D_fake: 0.504 
(epoch: 31, iters: 100, time: 0.065, data: 0.094) G_GAN: 2.157 G_L1: 27.812 D_real: 0.026 D_fake: 0.193 
(epoch: 31, iters: 200, time: 0.065, data: 0.001) G_GAN: 0.715 G_L1: 26.862 D_real: 1.306 D_fake: 0.487 
(epoch: 31, iters: 300, time: 0.065, data: 0.001) G_GAN: 1.640 G_L1: 42.815 D_real: 0.011 D_fake: 0.377 
(epoch: 31, iters: 400, time: 0.249, data: 0.001) G_GAN: 0.581 G_L1: 26.480 D_real: 2.075 D_fake: 0.110 
(epoch: 32, iters: 100, time: 0.065, data: 0.124) G_GAN: 3.050 G_L1: 31.919 D_real: 0.827 D_fake: 0.027 
(epoch: 32, iters: 200, time: 0.065, data: 0.001) G_GAN: 1.798 G_L1: 31.917 D_real: 0.872 D_fake: 0.042 
(epoch: 32, iters: 300, time: 0.066, data: 0.001) G_GAN: 2.638 G_L1: 39.491 D_real: 0.186 D_fake: 0.197 
(epoch: 32, iters: 400, time: 0.256, data: 0.001) G_GAN: 1.602 G_L1: 23.682 D_real: 0.662 D_fake: 0.313 
(epoch: 33, iters: 100, time: 0.065, data: 0.142) G_GAN: 0.916 G_L1: 25.449 D_real: 1.161 D_fake: 0.183 
(epoch: 33, iters: 200, time: 0.066, data: 0.001) G_GAN: 2.220 G_L1: 30.652 D_real: 0.552 D_fake: 0.053 
(epoch: 33, iters: 300, time: 0.065, data: 0.001) G_GAN: 3.124 G_L1: 35.414 D_real: 0.108 D_fake: 0.066 
(epoch: 33, iters: 400, time: 0.236, data: 0.001) G_GAN: 4.998 G_L1: 47.217 D_real: 0.002 D_fake: 0.011 
(epoch: 34, iters: 100, time: 0.065, data: 0.143) G_GAN: 2.840 G_L1: 28.339 D_real: 0.004 D_fake: 0.743 
(epoch: 34, iters: 200, time: 0.065, data: 0.001) G_GAN: 3.235 G_L1: 28.712 D_real: 0.006 D_fake: 0.208 
